"i","value"
1,0.15498267114162423
2,0.1596808603687864
3,0.1643790495959486
4,0.16907723882311076
5,0.17377542805027296
6,0.17847361727743513
7,0.1831718065045973
8,0.1878699957317595
9,0.19256818495892167
10,0.19726637418608389
11,0.20196456341324606
12,0.20666275264040823
13,0.21136094186757043
14,0.2160591310947326
15,0.2207573203218948
16,0.22545550954905696
17,0.23015369877621913
18,0.23485188800338133
19,0.2395500772305435
20,0.2442482664577057
21,0.24894645568486787
22,0.25364464491203004
23,0.25834283413919223
24,0.26304102336635443
25,0.26773921259351663
26,0.27243740182067883
27,0.27713559104784097
28,0.28183378027500317
29,0.28653196950216536
30,0.2912301587293275
31,0.2959283479564897
32,0.3006265371836519
33,0.30532472641081404
34,0.31002291563797624
35,0.31472110486513843
36,0.31941929409230063
37,0.32411748331946277
38,0.32881567254662497
39,0.33351386177378717
40,0.33821205100094931
41,0.34291024022811151
42,0.3476084294552737
43,0.35230661868243585
44,0.35700480790959804
45,0.36170299713676024
46,0.36640118636392244
47,0.37109937559108458
48,0.37579756481824678
49,0.38049575404540903
50,0.38519394327257117
51,0.38989213249973337
52,0.39459032172689557
53,0.39928851095405776
54,0.4039867001812199
55,0.4086848894083821
56,0.4133830786355443
57,0.41808126786270644
58,0.42277945708986864
59,0.42747764631703083
60,0.43217583554419298
61,0.43687402477135517
62,0.44157221399851737
63,0.44627040322567951
64,0.45096859245284171
65,0.45566678168000391
66,0.4603649709071661
67,0.46506316013432825
68,0.46976134936149044
69,0.47445953858865264
70,0.47915772781581478
71,0.48385591704297698
72,0.48855410627013918
73,0.49325229549730132
74,0.49795048472446352
75,0.50264867395162571
76,0.50734686317878785
77,0.51204505240595011
78,0.51674324163311225
79,0.52144143086027439
80,0.52613962008743664
81,0.53083780931459879
82,0.53553599854176104
83,0.54023418776892318
84,0.54493237699608543
85,0.54963056622324757
86,0.55432875545040972
87,0.55902694467757186
88,0.56372513390473411
89,0.56842332313189625
90,0.5731215123590585
91,0.57781970158622054
92,0.58251789081338279
93,0.58721608004054493
94,0.59191426926770718
95,0.59661245849486932
96,0.60131064772203158
97,0.60600883694919372
98,0.61070702617635586
99,0.61540521540351811
100,0.62010340463068025
101,0.62480159385784251
102,0.62949978308500465
103,0.6341979723121669
104,0.63889616153932904
105,0.64359435076649119
106,0.64829253999365333
107,0.65299072922081558
108,0.65768891844797772
109,0.66238710767513997
110,0.66708529690230212
111,0.67178348612946437
112,0.6764816753566264
113,0.68117986458378865
114,0.68587805381095079
115,0.69057624303811305
116,0.69527443226527519
117,0.69997262149243744
118,0.70467081071959947
119,0.70936899994676172
120,0.71406718917392387
121,0.71876537840108612
122,0.72346356762824826
123,0.72816175685541051
124,0.73285994608257266
125,0.7375581353097348
126,0.74225632453689694
127,0.74695451376405919
128,0.75165270299122133
129,0.75635089221838359
130,0.76104908144554584
131,0.76574727067270798
132,0.77044545989987012
133,0.77514364912703226
134,0.77984183835419452
135,0.78454002758135666
136,0.78923821680851891
137,0.79393640603568105
138,0.79863459526284331
139,0.80333278449000534
140,0.80803097371716759
141,0.81272916294432973
142,0.81742735217149198
143,0.82212554139865412
144,0.82682373062581638
145,0.83152191985297841
146,0.83622010908014066
147,0.8409182983073028
148,0.84561648753446506
