Organization,Date_Time,Latitude,Longitude,MSLP (hPa),MWS (Knot)
NHC,2017-06-19 18:00:00,24.3,-88.4,1004,35.0
NHC,2017-06-20 00:00:00,24.0,-89.2,1000,35.0
NHC,2017-06-20 06:00:00,24.5,-89.9,1000,35.0
NHC,2017-06-20 12:00:00,25.5,-90.60000000000001,999,35.0
NHC,2017-06-20 18:00:00,25.700000000000003,-90.7,999,40.0
NHC,2017-06-21 00:00:00,26.200000000000003,-90.7,997,40.0
NHC,2017-06-21 06:00:00,26.900000000000002,-91.5,997,50.0
NHC,2017-06-21 12:00:00,27.400000000000002,-92.4,995,45.0
NHC,2017-06-21 18:00:00,27.8,-92.9,995,45.0
NHC,2017-06-22 00:00:00,28.3,-93.30000000000001,992,45.0
NHC,2017-06-22 06:00:00,29.200000000000003,-93.60000000000001,992,40.0
NHC,2017-06-22 12:00:00,30.5,-93.60000000000001,996,30.0
NHC,2017-06-22 18:00:00,31.6,-93.8, 996.0, 35.0
NHC,2017-06-23 00:00:00,32.8,-93.6, 999.0, 30.0
NHC,2017-06-23 06:00:00,34.2,-92.8,1000.0, 30.0
NHC,2017-06-23 12:00:00,35.5,-90.8,1001.0, 30.0
NHC,2017-06-23 18:00:00,36.7,-88.1,1002.0, 25.0
NHC,2017-06-24 00:00:00,37.7,-84.4,1003.0, 25.0
NHC,2017-06-24 06:00:00,38.9,-78.5,1003.0, 25.0 
